어휘,분류,난이도
가결,학습도구어,5
가결되다,학습도구어,5
가결하다,학습도구어,5
가능,학습도구어,2
가능성,학습도구어,3
가능하다,학습도구어,3
가변,학습도구어,5
가변성,학습도구어,5
가변적,학습도구어,5
가상,학습도구어,4
가상적,학습도구어,5
가설,학습도구어,4
가정,학습도구어,3
가정되다,학습도구어,4
가정하다,학습도구어,5
가중,학습도구어,5
가중되다,학습도구어,5
가중하다,학습도구어,5
각성,학습도구어,4
각성되다,학습도구어,5
각성하다,학습도구어,4
각오,학습도구어,3
각오하다,학습도구어,3
각인,학습도구어,5
각인되다,학습도구어,4
각인하다,학습도구어,5
각주,학습도구어,4
간격,학습도구어,3
간과,학습도구어,5
간과되다,학습도구어,5
간과하다,학습도구어,4
간략,학습도구어,3
간략하다,학습도구어,3
간략히,학습도구어,4
간섭,학습도구어,3
간섭하다,학습도구어,3
간접,학습도구어,3
간접적,학습도구어,2
간주되다,학습도구어,5
간주하다,학습도구어,4
간파,학습도구어,5
간파되다,학습도구어,5
간파하다,학습도구어,4
간행,학습도구어,4
간행되다,학습도구어,4
간행하다,학습도구어,3
간헐,학습도구어,5
간헐적,학습도구어,5
갈등,학습도구어,2
감각,학습도구어,2
감각적,학습도구어,3
감당,학습도구어,4
감당하다,학습도구어,3
감독,학습도구어,4
감독하다,학습도구어,4
감성,학습도구어,4
감성적,학습도구어,4
감소,학습도구어,3
감소되다,학습도구어,4
감소하다,학습도구어,4
감수성,학습도구어,4
감시,학습도구어,3
감시되다,학습도구어,4
감시하다,학습도구어,3
감안,학습도구어,5
감안되다,학습도구어,5
감안하다,학습도구어,4
감지,학습도구어,5
감지되다,학습도구어,5
감지하다,학습도구어,4
감축,학습도구어,5
감축되다,학습도구어,6
감축하다,학습도구어,5
강구,학습도구어,5
강구되다,학습도구어,5
강구하다,학습도구어,5
강박,학습도구어,5
강박적,학습도구어,5
강박하다,학습도구어,7
강압,학습도구어,4
강압되다,학습도구어,4
강압적,학습도구어,4
강압하다,학습도구어,5
강요,학습도구어,4
강요되다,학습도구어,4
강요받다,학습도구어,3
강요하다,학습도구어,3
강의,학습도구어,2
강의하다,학습도구어,3
강제,학습도구어,4
강제되다,학습도구어,4
강제력,학습도구어,5
강제성,학습도구어,4
강제적,학습도구어,3
강제하다,학습도구어,5
강조,학습도구어,3
강조되다,학습도구어,3
강조하다,학습도구어,2
강화,학습도구어,4
강화되다,학습도구어,3
강화하다,학습도구어,3
개관,학습도구어,5
개관되다,학습도구어,5
개관적,학습도구어,5
개관하다,학습도구어,4
개괄,학습도구어,5
개괄되다,학습도구어,6
개괄적,학습도구어,5
개괄하다,학습도구어,5
개념,학습도구어,3
개념적,학습도구어,3
개략,학습도구어,5
개략적,학습도구어,5
개략하다,학습도구어,6
개론,학습도구어,5
개론하다,학습도구어,5
개발,학습도구어,3
개발되다,학습도구어,3
개발하다,학습도구어,2
개방,학습도구어,3
개방되다,학습도구어,4
개방성,학습도구어,5
개방적,학습도구어,3
개방하다,학습도구어,4
개별,학습도구어,4
개별성,학습도구어,4
개별적,학습도구어,3
개선,학습도구어,3
개선되다,학습도구어,3
개선하다,학습도구어,3
개설,학습도구어,4
개설되다,학습도구어,5
개설하다,학습도구어,5
개성,학습도구어,2
개성적,학습도구어,3
개연성,학습도구어,5
개요,학습도구어,2
개입,학습도구어,4
개입되다,학습도구어,4
개입하다,학습도구어,4
개정,학습도구어,5
개정되다,학습도구어,6
개정하다,학습도구어,6
개진,학습도구어,6
개진하다01,학습도구어,6
개진하다02,학습도구어,5
개척,학습도구어,2
개척되다,학습도구어,3
개척자,학습도구어,4
개척지,학습도구어,6
개척하다,학습도구어,2
개체,학습도구어,5
개체적,학습도구어,5
개통,학습도구어,3
개통되다,학습도구어,3
개통하다,학습도구어,4
개편,학습도구어,4
개편되다,학습도구어,5
개편하다,학습도구어,4
개혁,학습도구어,4
개혁되다,학습도구어,4
개혁적,학습도구어,4
개혁하다,학습도구어,3
개화,학습도구어,5
개화되다,학습도구어,5
개화하다,학습도구어,5
객관,학습도구어,3
객관성,학습도구어,4
객관식,학습도구어,4
객관적,학습도구어,3
객관화,학습도구어,5
객관화되다,학습도구어,5
객관화하다,학습도구어,5
객체,학습도구어,5
갱신,학습도구어,5
갱신되다,학습도구어,6
갱신하다,학습도구어,5
거론,학습도구어,4
거론되다,학습도구어,5
거론하다,학습도구어,4
거부,학습도구어,4
거부하다,학습도구어,3
거시,학습도구어,5
건설,학습도구어,2
건설되다,학습도구어,3
건설적,학습도구어,3
건설하다,학습도구어,2
건의,학습도구어,4
건의되다,학습도구어,3
건의하다,학습도구어,4
검사,학습도구어,2
검사되다,학습도구어,4
검사하다,학습도구어,3
검색,학습도구어,4
검색하다,학습도구어,5
검열,학습도구어,4
검열되다,학습도구어,4
검열하다,학습도구어,3
검정,학습도구어,2
검정하다,학습도구어,3
검증,학습도구어,4
검증되다,학습도구어,5
검증하다,학습도구어,4
검토,학습도구어,3
검토되다,학습도구어,4
검토하다,학습도구어,3
격리,학습도구어,4
격리되다,학습도구어,5
격리하다,학습도구어,5
견제,학습도구어,5
견제되다,학습도구어,5
견제하다,학습도구어,4
견지,학습도구어,6
견지하다,학습도구어,5
견해,학습도구어,3
결과,학습도구어,1
결과적,학습도구어,2
결론,학습도구어,2
결론적,학습도구어,4
결말,학습도구어,3
결말나다,학습도구어,4
결말내다,학습도구어,4
결말짓다,학습도구어,4
결부,학습도구어,5
결부되다,학습도구어,4
결부하다,학습도구어,5
결성,학습도구어,4
결성되다,학습도구어,4
결성하다,학습도구어,4
결속,학습도구어,4
결속되다,학습도구어,5
결속력,학습도구어,4
결속하다,학습도구어,4
결여,학습도구어,4
결여되다,학습도구어,4
결여하다,학습도구어,5
결의,학습도구어,4
결의되다,학습도구어,5
결의하다,학습도구어,5
결정,학습도구어,2
결정되다,학습도구어,3
결정적,학습도구어,3
결정짓다,학습도구어,3
결정하다,학습도구어,3
결집,학습도구어,5
결집되다,학습도구어,5
결집하다,학습도구어,5
결핍,학습도구어,4
결핍되다,학습도구어,4
결핍하다,학습도구어,5
결합,학습도구어,4
결합되다,학습도구어,4
결합성,학습도구어,7
결합적,학습도구어,4
결합하다,학습도구어,3
경감되다,학습도구어,5
경감하다,학습도구어,4
경계,학습도구어,3
경계점,학습도구어,6
경계하다,학습도구어,3
경과,학습도구어,4
경로,학습도구어,4
경제,학습도구어,2
경제적,학습도구어,2
경향,학습도구어,3
경험,학습도구어,2
경험적,학습도구어,3
계기,학습도구어,3
계량,학습도구어,3
계량적,학습도구어,4
계량하다,학습도구어,3
계량화,학습도구어,6
계량화되다,학습도구어,5
계량화하다,학습도구어,6
계발,학습도구어,3
계발되다,학습도구어,4
계발하다,학습도구어,3
계속,학습도구어,2
계속되다,학습도구어,2
계속성,학습도구어,5
계속하다,학습도구어,3
계통,학습도구어,3
계통적,학습도구어,4
계획,학습도구어,2
계획되다,학습도구어,3
계획성,학습도구어,3
계획적,학습도구어,3
계획하다,학습도구어,3
계획화,학습도구어,5
고려,학습도구어,3
고려되다,학습도구어,4
고려하다,학습도구어,3
고수,학습도구어,5
고수되다,학습도구어,7
고수하다,학습도구어,4
고유,학습도구어,2
고유성,학습도구어,5
고유하다,학습도구어,2
고정,학습도구어,3
고정되다,학습도구어,4
고정적,학습도구어,4
고정화,학습도구어,4
고정화되다,학습도구어,6
고정화하다,학습도구어,5
고찰,학습도구어,5
고찰되다,학습도구어,5
고찰하다,학습도구어,5
공개,학습도구어,3
공개되다,학습도구어,4
공개적,학습도구어,3
공개하다,학습도구어,3
공급,학습도구어,2
공급되다,학습도구어,3
공급하다,학습도구어,3
공동,학습도구어,3
공동성,학습도구어,7
공동체,학습도구어,4
공식,학습도구어,4
공식적,학습도구어,3
공식화,학습도구어,5
공식화되다,학습도구어,5
공식화하다,학습도구어,5
공유,학습도구어,5
공유하다,학습도구어,5
공유화,학습도구어,6
공유화되다,학습도구어,6
공유화하다,학습도구어,6
공존,학습도구어,4
공존하다,학습도구어,4
공통,학습도구어,2
공통되다,학습도구어,3
공통성,학습도구어,5
공통적,학습도구어,3
공통점,학습도구어,2
과정,학습도구어,3
과제,학습도구어,3
과학,학습도구어,2
과학성,학습도구어,5
과학적,학습도구어,2
관계,학습도구어,1
관계되다,학습도구어,2
관계식,학습도구어,4
관계하다,학습도구어,2
관념,학습도구어,4
관념적,학습도구어,5
관련,학습도구어,2
관련되다,학습도구어,2
관련성,학습도구어,4
관련짓다,학습도구어,3
관련하다,학습도구어,3
관리,학습도구어,4
관리되다,학습도구어,4
관리하다,학습도구어,3
관심사,학습도구어,3
관여,학습도구어,5
관여하다,학습도구어,4
관점,학습도구어,2
관찰,학습도구어,2
관찰되다,학습도구어,3
관찰하다,학습도구어,2
관측,학습도구어,3
관측되다,학습도구어,4
관측하다,학습도구어,3
관통,학습도구어,4
관통되다,학습도구어,4
관통하다,학습도구어,3
광범위,학습도구어,4
광범위하다,학습도구어,3
교육적,학습도구어,3
교환,학습도구어,2
교환되다,학습도구어,3
교환하다,학습도구어,3
구별,학습도구어,2
구별되다,학습도구어,3
구별하다,학습도구어,2
구분,학습도구어,3
구분되다,학습도구어,3
구분하다,학습도구어,3
구상,학습도구어,4
구상성,학습도구어,6
구상적,학습도구어,6
구상하다,학습도구어,3
구상화되다,학습도구어,6
구상화하다,학습도구어,5
구성,학습도구어,3
구성되다,학습도구어,3
구성원,학습도구어,2
구성체,학습도구어,5
