어휘,등급
가,1
가게,1
가격,1
가구,1
가까워지다,1
가까이,1
가깝다,1
가꾸다,1
가끔,1
가난,1
가난하다,1
가늘다,1
가능,1
가능하다,1
가다,1
가두다,1
가득,1
가득하다,1
가라앉다,1
가래,1
가렵다,1
가로,1
가로등,1
가로막다,1
가루,1
가르다,1
가르치다,1
가르침,1
가리다,1
가리다,1
가리키다,1
가만,1
가만있다,1
가만히,1
가면,1
가발,1
가방,1
가볍다,1
가수,1
가스,1
가스레인지,1
가슴,1
가시,1
가시다,1
가엾다,1
가운데,1
가위,1
가위바위보,1
가을,1
가장,1
가정,1
가져가다,1
가져다주다,1
가져오다,1
가족,1
가죽,1
가지,1
가지,1
가지다,1
가짜,1
각,1
각,1
각각,1
각자,1
간,1
간,1
간격,1
간단하다,1
간단히,1
간섭,1
간섭하다,1
간식,1
간장,1
간지럽다,1
간판,1
간편하다,1
간호,1
간호사,1
간호하다,1
갇히다,1
갈다,1
갈다,1
갈라지다,1
갈매기,1
갈비,1
갈색,1
갈수록,1
갈아입다,1
갈아입히다,1
감,1
감기,1
감기다,1
감기다,1
감다,1
감다,1
감다,1
감독,1
감동,1
감동적,1
감동하다,1
감사,1
감사하다,1
감싸다,1
감옥,1
감자,1
감자튀김,1
감추다,1
갑갑하다,1
갑자기,1
값,1
강,1
강가,1
강물,1
강산,1
강아지,1
강하다,1
강하다,1
갖가지,1
갖다,1
같다,1
같아지다,1
같이,1
갚다,1
개,1
개,1
개구리,1
개굴개굴,1
개나리,1
개나리꽃,1
개다,1
개미,1
개수,1
개운하다,1
개울,1
개인,1
개학,1
갸우뚱하다,1
걔,1
거,1
거기,1
거꾸로,1
거대하다,1
거리,1
거리,1
거미,1
거미줄,1
거북,1
거북이,1
거세다,1
거실,1
거울,1
거의,1
거인,1
거절,1
거절하다,1
거지,1
거짓,1
거짓말,1
거짓말쟁이,1
거짓말하다,1
거칠다,1
거품,1
걱정,1
걱정되다,1
걱정스럽다,1
걱정하다,1
건강,1
건강하다,1
건너,1
건너가다,1
건너다,1
건너오다,1
건너편,1
건드리다,1
건물,1
건전지,1
건조하다,1
건지다,1
걷기,1
걷다,1
걸다,1
걸레,1
걸리다,1
걸어가다,1
걸어오다,1
걸음,1
걸음마,1
걸치다,1
검다,1
검사,1
검사하다,1
검은색,1
검정,1
겁,1
겁나다,1
겁내다,1
것,1
겉,1
겉모습,1
게,1
게으르다,1
게으름,1
게임,1
겨드랑이,1
겨루다,1
겨우,1
겨울,1
겨울철,1
겪다,1
견디다,1
결과,1
결국,1
결석,1
결석하다,1
결심,1
결심하다,1
결정,1
결정하다,1
결코,1
결혼,1
결혼식,1
결혼하다,1
겹치다,1
경고,1
경기,1
경기장,1
경례,1
경우,1
경쟁,1
경주,1
경찰,1
경찰관,1
경찰서,1
경찰차,1
경치,1
곁,1
계곡,1
계단,1
계란,1
계란프라이,1
계산,1
계산하다,1
계속,1
계속되다,1
계속하다,1
계시다,1
계절,1
계획,1
계획하다,1
고,1
고개,1
고개,1
고구마,1
고기,1
고등어,1
고래,1
고루,1
고르다,1
고르다,1
고리,1
고마움,1
고마워하다,1
고맙다,1
고모,1
고모부,1
고무,1
고무줄,1
고민,1
고민하다,1
고백,1
고백하다,1
고생,1
고생하다,1
고소하다,1
고속버스,1
고슴도치,1
고약하다,1
고양이,1
고장,1
고정,1
고정되다,1
고정하다,1
고집,1
고집하다,1
고추,1
고추장,1
고춧가루,1
고치다,1
고통스럽다,1
고프다,1
고함,1
고향,1
곡,1
곤충,1
곧,1
곧바로,1
곧잘,1
곧장,1
골,1
골고루,1
골다,1
골목,1
골목길,1
골짜기,1
곰,1
곰곰이,1
곰팡이,1
곱다,1
곳,1
공,1
공,1
공,1
공간,1
공격,1
공격하다,1
공기,1
공놀이,1
공동,1
공룡,1
공부,1
공부하다,1
공사,1
공사장,1
공원,1
공작새,1
공장,1
공주,1
공중,1
공짜,1
공책,1
공통점,1
공포,1
공항,1
공휴일,1
곶감,1
과거,1
과일,1
과자,1
과정,1
과학,1
과학자,1
관계,1
관심,1
관찰,1
관찰하다,1
관하다,1
광고,1
괜찮다,1
괜히,1
괴로움,1
괴로워하다,1
괴롭다,1
괴롭히다,1
괴물,1
괴상하다,1
굉장하다,1
굉장히,1
교사,1
교실,1
교체하다,1
교통사고,1
교회,1
구,1
구경,1
구경하다,1
구급차,1
구덩이,1
구두,1
구렁이,1
구르다,1
구르다,1
구름,1
구멍,1
구박,1
구별,1
구별하다,1
구부리다,1
구분,1
구분하다,1
구석,1
구석구석,1
구슬,1
구십,1
구역,1
구역질,1
구월,1
구이,1
구하다,1
구하다,1
국,1
국군,1
국기,1
국물,1
국민,1
국밥,1
국수,1
국어,1
국화,1
국화,1
군,1
군,1
군대,1
군데,1
군인,1
굳다,1
굳어지다,1
굳히다,1
굴,1
굴다,1
굴뚝,1
굴러가다,1
굴러다니다,1
굴리다,1
굵다,1
굶다,1
굽다,1
굽다,1
굽히다,1
궁,1
궁궐,1
궁금증,1
궁금하다,1
궁전,1
권,1
권력,1
권총,1
권투,1
귀,1
귀걸이,1
귀신,1
귀염둥이,1
귀엽다,1
귀중하다,1
귀찮다,1
귀하다,1
귓속말,1
규칙,1
규칙적,1
귤,1
그,1
그거,1
그것,1
그곳,1
그날,1
그냥,1
그네,1
그녀,1
그놈,1
그늘,1
그다음,1
그대로,1
그동안,1
그때,1
그때그때,1
그래,1
그래도,1
그래서,1
그러나,1
그러니까,1
그러다,1
그러면,1
그러므로,1
그러하다,1
그런,1
그런데,1
그럼,1
그럼,1
그렇게,1
그렇다,1
그렇지만,1
그루,1
그릇,1
그리,1
그리,1
그리고,1
그리다,1
그리움,1
그리워하다,1
그리하여,1
그림,1
그림자,1
그림책,1
그립다,1
그만,1
그만두다,1
그만큼,1
그만하다,1
그물,1
그분,1
그사이,1
그저,1
그저께,1
그전,1
그제,1
그제야,1
그중,1
그쪽,1
그치다,1
극장,1
근데,1
근처,1
글,1
글쎄,1
글쎄요,1
글씨,1
글자,1
긁다,1
긁히다,1
금,1
금,1
금,1
금메달,1
금방,1
금붕어,1
금세,1
금연,1
금요일,1
금지,1
급,1
급식,1
급하다,1
급히,1
긋다,1
기계,1
기관,1
기념,1
기념품,1
기다,1
기다랗다,1
기다리다,1
기대,1
기대감,1
기대다,1
기대되다,1
기대하다,1
기도,1
기도하다,1
기둥,1
기르다,1
기름,1
기린,1
기본,1
기분,1
기뻐하다,1
기쁘다,1
기쁨,1
기사,1
기술,1
기술자,1
기억,1
기억나다,1
기억되다,1
기억하다,1
기온,1
기운,1
기울다,1
기울어지다,1
기울이다,1
기저귀,1
기적,1
기절하다,1
기지,1
기지개,1
기차,1
기차놀이,1
기차역,1
기침,1
기타,1
기특하다,1
기한,1
기회,1
긴장,1
긴장되다,1
긴장하다,1
길,1
길가,1
길거리,1
길다,1
길다,1
길들이다,1
길목,1
길바닥,1
길어지다,1
길이,1
길쭉길쭉,1
길쭉하다,1
김,1
김,1
김,1
김밥,1
김장,1
김치,1
김치찌개,1
김칫국,1
깃발,1
깃털,1
깊다,1
깊숙이,1
깊어지다,1
깊이,1
깊이,1
까까,1
까꿍,1
까다,1
까다롭다,1
까닭,1
까마귀,1
까만색,1
까맣다,1
까매지다,1
까먹다,1
까불다,1
까지다,1
까치,1
깎다,1
깎이다,1
깔끔하다,1
깔다,1
깔리다,1
깜깜하다,1
깜박,1
깜빡,1
깜빡하다,1
깜짝,1
깡충깡충,1
깡통,1
깨,1
깨끗이,1
깨끗하다,1
깨다,1
깨다,1
깨닫다,1
깨뜨리다,1
깨물다,1
깨어나다,1
깨어지다,1
깨우다,1
깨지다,1
깨트리다,1
깻잎,1
꺼내다,1
꺼지다,1
꺼지다,1
꺾다,1
꺾이다,1
껌,1
껍데기,1
껍질,1
껴안다,1
꼬꼬닭,1
꼬꼬댁,1
꼬끼오,1
꼬다,1
꼬리,1
꼬마,1
꼬박꼬박,1
꼬이다,1
꼬이다,1
꼬집다,1
꼭,1
꼭,1
꼭꼭,1
꼭대기,1
꼴,1
꼴찌,1
꼼꼼하다,1
꼼꼼히,1
꼼짝,1
꼼짝없이,1
꼽히다,1
꽁꽁,1
꽂다,1
꽂히다,1
꽃,1
꽃게,1
꽃다발,1
꽃밭,1
꽃잎,1
꽃집,1
꽉,1
꽝,1
꽤,1
꽥꽥,1
꾀,1
꾸다,1
꾸미다,1
꾸역꾸역,1
꾸준하다,1
꾸준히,1
꾸짖다,1
꾹,1
꾹꾹,1
꿀,1
꿀꺽,1
꿀꿀,1
꿇다,1
꿈,1
꿈꾸다,1
꿈나라,1
꿈속,1
꿈틀거리다,1
꿰다,1
꿰매다,1
뀌다,1
끄다,1
끄덕이다,1
끄집어내다,1
끈,1
끈끈하다,1
끊기다,1
끊다,1
끊어지다,1
끌다,1
끌리다,1
끓다,1
끓이다,1
끔찍하다,1
끙끙,1
끝,1
끝나다,1
끝내,1
끝내다,1
끝마치다,1
끝없이,1
끼,1
끼다,1
끼다,1
끼다,1
끼어들다,1
끼얹다,1
끼우다,1
끼이다,1
끼치다,1
나,1
나가다,1
나날이,1
나누다,1
나뉘다,1
나다,1
나들이,1
나라,1
나란히,1
나르다,1
나머지,1
나무,1
나물,1
나뭇가지,1
나뭇잎,1
나비,1
나빠지다,1
나쁘다,1
나서다,1
